experiment_id,method,init_name,target_department,n_support_pos,n_support_neg,inner_steps,status,gold_auroc_mean,gold_auroc_std,gold_ap_mean,gold_ap_std,gold_logloss_mean,gold_logloss_std,gold_brier_mean,gold_brier_std,gold_ece_mean,gold_ece_std,gold_f1_mean,gold_f1_std,gold_accuracy_mean,gold_accuracy_std,gold_pred_mean_mean,gold_pred_mean_std,gold_true_mean_mean,gold_true_mean_std,n_eval_rows_mean,n_eval_rows_std,n_positive_mean,n_positive_std,precision_at_5_mean,precision_at_5_std,recall_at_5_mean,recall_at_5_std,ndcg_at_5_mean,ndcg_at_5_std,precision_at_10_mean,precision_at_10_std,recall_at_10_mean,recall_at_10_std,ndcg_at_10_mean,ndcg_at_10_std,precision_at_20_mean,precision_at_20_std,recall_at_20_mean,recall_at_20_std,ndcg_at_20_mean,ndcg_at_20_std,n_metric_rows,n_predictions,n_episodes_diagnosed,collapse_rate,pred_mean_mean,pred_std_mean,frac_near_zero_mean,frac_near_one_mean,inner_lr,meta_batch_size,was_skipped,error,synthetic_proportion,augmentation_method,target_per_class,k_neighbors,stale_reason,is_stale,is_diagnostic,diagnostic_reason,is_current_clean
stage2__init-A_weak_only__method-anil__kpos-1__kneg-1__steps-3__target-Logistics__synprop-0.9__gen-smote_nc,anil,A_weak_only,Logistics,1,1,3,success,0.4799242424242423,0.0960180576833627,0.7574963590031842,0.0554492523486424,1.0194024098015415,0.2912462979445473,0.3801450681767697,0.1127395746317733,0.4101655118441319,0.1388548714071385,0.3333333333333333,0.3042542969064887,0.4,0.1238790569920746,0.4413917092179112,0.2533556684137875,0.6552941176470588,0.08591860636914,17.2,1.469693845669907,11.2,1.1661903789690602,0.76,0.1959591794226542,0.3419191919191919,0.0915187191312986,0.8289335930281506,0.1477328716641638,0.62,0.0399999999999999,0.5590909090909091,0.0621766197838884,0.7110483141722603,0.0479822191789697,0.6552941176470588,0.08591860636914,1.0,0.0,0.91614117139523,0.0276844944834277,5.0,86.0,5.0,0.0,0.4413916915655136,0.0780688323080539,0.0,0.0,0.01,4.0,False,,0.9,smote_nc,,5.0,,False,False,,True
stage2__init-A_weak_only__method-anil__kpos-1__kneg-1__steps-3__target-Logistics__synprop-0__gen-none,anil,A_weak_only,Logistics,1,1,3,success,0.4916140572390574,0.0984906325417028,0.7388278836736568,0.0774474344283447,0.9268481107412644,0.2517354937169371,0.3439860977574526,0.0986291403906667,0.3524356206656173,0.1341270555669804,0.4421262481983544,0.295433390710043,0.440713406820218,0.1142006904373685,0.5177217042248199,0.2411086356166808,0.6308672132820738,0.0868460268755322,16.4,1.8814887722226776,10.3,1.552417469626003,0.7300000000000001,0.1926136028425822,0.3607323232323232,0.1043177661379256,0.7965249137246401,0.1547751257171857,0.5999999999999999,0.0547722557505166,0.5920454545454545,0.0774813360624126,0.7035160817037447,0.0535670010846976,0.6308672132820738,0.0868460268755322,1.0,0.0,0.9038053831251652,0.042369587649158,20.0,328.0,20.0,0.0,0.5177216932177544,0.0800408296287059,0.0,0.00625,0.01,4.0,False,,0.0,none,,5.0,,False,False,,True
stage2__init-A_weak_only__method-anil__kpos-1__kneg-1__steps-3__target-Logistics__synprop-0.5__gen-smote_nc,anil,A_weak_only,Logistics,1,1,3,success,0.4916140572390574,0.0984906325417028,0.7388278836736568,0.0774474344283447,0.9268481107412644,0.2517354937169371,0.3439860977574526,0.0986291403906667,0.3524356206656173,0.1341270555669804,0.4421262481983544,0.295433390710043,0.440713406820218,0.1142006904373685,0.5177217042248199,0.2411086356166808,0.6308672132820738,0.0868460268755322,16.4,1.8814887722226776,10.3,1.552417469626003,0.7300000000000001,0.1926136028425822,0.3607323232323232,0.1043177661379256,0.7965249137246401,0.1547751257171857,0.5999999999999999,0.0547722557505166,0.5920454545454545,0.0774813360624126,0.7035160817037447,0.0535670010846976,0.6308672132820738,0.0868460268755322,1.0,0.0,0.9038053831251652,0.042369587649158,20.0,328.0,20.0,0.0,0.5177216932177544,0.0800408296287059,0.0,0.00625,0.01,4.0,False,,0.5,smote_nc,,5.0,,False,False,,True
stage2__init-A_weak_only__method-anil__kpos-1__kneg-1__steps-3__target-Packaging-Material__synprop-0.9__gen-smote_nc,anil,A_weak_only,Packaging Material,1,1,3,success,0.2776597949692224,0.0437041518908273,0.7166673570668298,0.0361184601806433,1.5334113019440667,0.1664795018490545,0.498519246361162,0.0427305597947599,0.5068748200749141,0.0544899685103835,0.3848363499976403,0.1109894623054556,0.313105096197421,0.0600791314518769,0.3505361889430924,0.0742288411404803,0.8043628723272771,0.0106101836208647,56.4,3.2,45.4,3.2,0.48,0.16,0.0535630778783557,0.0199179154543813,0.4203324375489973,0.2243297427275593,0.64,0.08,0.1420845824722764,0.0234560293337724,0.5552639996686094,0.148175624912501,0.7,0.0447213595499957,0.3086998282737142,0.0117309268027821,0.6278839017323521,0.075141256207067,5.0,282.0,5.0,0.0,0.3505362033843994,0.2579291582107544,0.1272772216042516,0.0,0.01,4.0,False,,0.9,smote_nc,,5.0,,False,False,,True
stage2__init-A_weak_only__method-anil__kpos-1__kneg-1__steps-3__target-Packaging-Material__synprop-0__gen-none,anil,A_weak_only,Packaging Material,1,1,3,success,0.3173191736322975,0.0848737279661609,0.7443203450614083,0.0574048645504391,1.5100108054078674,0.3558164157832223,0.4871232079662282,0.0947556179227699,0.501063033533664,0.1095079123314739,0.3684106834149735,0.1724938741332188,0.3164596465208256,0.0903376673577572,0.3478167250201786,0.1124574371822024,0.8049746632060314,0.0112697329739764,56.6,3.4117444218463966,45.6,3.4117444218463966,0.62,0.2749545416973504,0.0685808811401849,0.0312829767005433,0.5732959092704015,0.3236667812556816,0.71,0.1374772708486752,0.1567686352126204,0.0335002948556395,0.654656752831723,0.2108181282537441,0.7125,0.0588960949469487,0.3132622173065168,0.025880701746859,0.6759701695263637,0.1122533673366212,20.0,1132.0,20.0,0.0,0.3478167340159416,0.235599523037672,0.1328235076010381,0.0,0.01,4.0,False,,0.0,none,,5.0,,False,False,,True
stage2__init-A_weak_only__method-anil__kpos-1__kneg-1__steps-3__target-Packaging-Material__synprop-0.5__gen-smote_nc,anil,A_weak_only,Packaging Material,1,1,3,success,0.3173191736322975,0.0848737279661609,0.7443203450614083,0.0574048645504391,1.5100108054078674,0.3558164157832223,0.4871232079662282,0.0947556179227699,0.501063033533664,0.1095079123314739,0.3684106834149735,0.1724938741332188,0.3164596465208256,0.0903376673577572,0.3478167250201786,0.1124574371822024,0.8049746632060314,0.0112697329739764,56.6,3.4117444218463966,45.6,3.4117444218463966,0.62,0.2749545416973504,0.0685808811401849,0.0312829767005433,0.5732959092704015,0.3236667812556816,0.71,0.1374772708486752,0.1567686352126204,0.0335002948556395,0.654656752831723,0.2108181282537441,0.7125,0.0588960949469487,0.3132622173065168,0.025880701746859,0.6759701695263637,0.1122533673366212,20.0,1132.0,20.0,0.0,0.3478167340159416,0.235599523037672,0.1328235076010381,0.0,0.01,4.0,False,,0.5,smote_nc,,5.0,,False,False,,True
stage2__init-A_weak_only__method-anil__kpos-1__kneg-1__steps-5__target-Logistics__synprop-0.9__gen-smote_nc,anil,A_weak_only,Logistics,1,1,5,success,0.4632575757575757,0.1067590638040437,0.753535643792469,0.0513409665901449,1.0344438140626075,0.3003911057634784,0.3850064431674576,0.115098326170693,0.408345703764216,0.1584205935622648,0.3379310344827586,0.3093870823242566,0.41,0.1332141912907392,0.4340678720252917,0.2503705786444379,0.6552941176470588,0.08591860636914,17.2,1.469693845669907,11.2,1.1661903789690602,0.76,0.1959591794226542,0.3419191919191919,0.0915187191312986,0.8289335930281506,0.1477328716641638,0.6,0.0,0.5424242424242424,0.0645675022807954,0.6976887568359923,0.035058189062887,0.6552941176470588,0.08591860636914,1.0,0.0,0.9145721511899094,0.026334932110206,5.0,86.0,5.0,0.0,0.4340678691864014,0.0770707838237285,0.0,0.0,0.01,4.0,False,,0.9,smote_nc,,5.0,,False,False,,True
stage2__init-A_weak_only__method-anil__kpos-1__kneg-1__steps-5__target-Logistics__synprop-0__gen-none,anil,A_weak_only,Logistics,1,1,5,success,0.4810132575757576,0.1031137129934078,0.735848456745366,0.0730625746626769,0.9418995047995712,0.2575638426978157,0.349359006261369,0.0997971781004927,0.3554268586534418,0.139670575488127,0.4327918025179688,0.3043977420111591,0.4373800734868847,0.1181895763765232,0.5129311761946307,0.2416021034896049,0.6308672132820738,0.0868460268755322,16.4,1.8814887722226776,10.3,1.552417469626003,0.71,0.2142428528562855,0.3489267676767676,0.1122291339221606,0.783404405973406,0.1703843991953353,0.5899999999999999,0.0435889894354067,0.5837121212121212,0.0823016370324342,0.6956756601624308,0.0470533627079171,0.6308672132820738,0.0868460268755322,1.0,0.0,0.90230504828854,0.0414846295791083,20.0,328.0,20.0,0.0,0.5129311740398407,0.0791549369692802,0.0,0.00625,0.01,4.0,False,,0.0,none,,5.0,,False,False,,True
stage2__init-A_weak_only__method-anil__kpos-1__kneg-1__steps-5__target-Logistics__synprop-0.5__gen-smote_nc,anil,A_weak_only,Logistics,1,1,5,success,0.4810132575757576,0.1031137129934078,0.735848456745366,0.0730625746626769,0.9418995047995712,0.2575638426978157,0.349359006261369,0.0997971781004927,0.3554268586534418,0.139670575488127,0.4327918025179688,0.3043977420111591,0.4373800734868847,0.1181895763765232,0.5129311761946307,0.2416021034896049,0.6308672132820738,0.0868460268755322,16.4,1.8814887722226776,10.3,1.552417469626003,0.71,0.2142428528562855,0.3489267676767676,0.1122291339221606,0.783404405973406,0.1703843991953353,0.5899999999999999,0.0435889894354067,0.5837121212121212,0.0823016370324342,0.6956756601624308,0.0470533627079171,0.6308672132820738,0.0868460268755322,1.0,0.0,0.90230504828854,0.0414846295791083,20.0,328.0,20.0,0.0,0.5129311740398407,0.0791549369692802,0.0,0.00625,0.01,4.0,False,,0.5,smote_nc,,5.0,,False,False,,True
stage2__init-A_weak_only__method-anil__kpos-1__kneg-1__steps-5__target-Packaging-Material__synprop-0.9__gen-smote_nc,anil,A_weak_only,Packaging Material,1,1,5,success,0.2776597949692224,0.0437041518908273,0.7166673570668298,0.0361184601806433,1.5360682488163124,0.1676987090335298,0.4990035205370138,0.0428860185004475,0.5124792630523576,0.052630809194273,0.380837830930628,0.105534075124446,0.309656820335352,0.0544303629575416,0.3499821524214462,0.0742887561027105,0.8043628723272771,0.0106101836208647,56.4,3.2,45.4,3.2,0.48,0.16,0.0535630778783557,0.0199179154543813,0.4203324375489973,0.2243297427275593,0.64,0.08,0.1420845824722764,0.0234560293337724,0.5552639996686094,0.148175624912501,0.7,0.0447213595499957,0.3086998282737142,0.0117309268027821,0.6278839017323521,0.075141256207067,5.0,282.0,5.0,0.0,0.349982139468193,0.2579834640026092,0.1309809253079553,0.0,0.01,4.0,False,,0.9,smote_nc,,5.0,,False,False,,True
