column,present,missing_pct,dtype
contract_id,True,0.0,int64
supplier_id,True,0.0,int64
department,True,0.9998913161612869,str
observation_year,True,0.0,int64
gold_y,True,99.08705575480926,float64
target_renegotiate,True,0.0,int64
renegotiation_prob,True,0.0,float64
LPI_Score,True,0.7281817193783284,float64
PPI_Value,True,1.0433648516465601,float64
lpi_below_supplier_median,True,0.0,int64
years_to_expiry_capped,True,82.78447994783176,float64
days_until_expiry,True,82.78447994783176,float64
open_ended_contract,True,0.0,int64
is_old_and_near_expiry,True,0.0,int64
esg_below_industry_min,True,0.0,int64
supplier_is_publicly_listed,True,0.0,int64
fin_flag_negative_ebit_margin,True,0.0,int64
fin_flag_multiple_financial_stress_signals,True,0.0,int64
payment_terms,True,29.594609281599826,str
incoterms,True,32.50733615911314,str
contract_age_years,True,0.0,int64
expiry_pressure_bucket,True,0.0,str
