iteration,meta_loss,n_skipped,n_valid_tasks
1,0.9841538667678833,0,4
2,0.916302502155304,0,4
3,0.7921378016471863,0,4
4,0.9721570014953613,0,4
5,0.8335182666778564,0,4
6,0.6956114768981934,0,4
7,0.6970656514167786,0,4
8,0.5924113988876343,0,4
9,0.8515874147415161,0,4
10,0.8118736743927002,0,4
11,0.9071094989776611,0,4
12,0.8918616771697998,0,4
13,0.8903024196624756,0,4
14,0.6370159387588501,0,4
15,0.7643320560455322,0,4
16,0.6276633143424988,0,4
17,0.7333858013153076,0,4
18,0.6190786361694336,0,4
19,0.8735789656639099,0,4
20,0.6304643750190735,0,4
21,0.7397324442863464,0,4
22,0.6083482503890991,0,4
23,0.7622272968292236,0,4
24,0.8336065411567688,0,4
25,0.6013926267623901,0,4
26,0.8178232312202454,0,4
27,0.700154721736908,0,4
28,0.6004378795623779,0,4
29,0.6211127638816833,0,4
30,0.7594358325004578,0,4
31,0.7198318243026733,0,4
32,0.7084121108055115,0,4
33,0.7120511531829834,0,4
34,0.6414029598236084,0,4
35,0.7817637920379639,0,4
36,0.6938028931617737,0,4
37,0.7212497591972351,0,4
38,0.6347742080688477,0,4
39,0.7036529183387756,0,4
40,0.7076472043991089,0,4
41,0.72841477394104,0,4
42,0.8211159706115723,0,4
43,0.6332639455795288,0,4
44,0.6617876291275024,0,4
45,0.7507554292678833,0,4
46,0.5820958018302917,0,4
47,0.6732823848724365,0,4
48,0.7133052349090576,0,4
49,0.6606656312942505,0,4
50,0.6306760311126709,0,4
51,0.49005675315856934,0,4
52,0.7055844068527222,0,4
53,0.586036741733551,0,4
54,0.5060127973556519,0,4
55,0.7043317556381226,0,4
56,0.5843522548675537,0,4
57,0.7102689146995544,0,4
58,0.6807288527488708,0,4
59,0.6906501054763794,0,4
60,0.6750900745391846,0,4
61,0.6859896183013916,0,4
62,0.6898793578147888,0,4
63,0.7138900756835938,0,4
64,0.4930167496204376,0,4
65,0.6341327428817749,0,4
66,0.6202342510223389,0,4
67,0.6397203207015991,0,4
68,0.6723191738128662,0,4
69,0.6292995810508728,0,4
70,0.6551291346549988,0,4
71,0.6605933904647827,0,4
72,0.6503404974937439,0,4
73,0.7397512793540955,0,4
74,0.7171898484230042,0,4
75,0.7210675477981567,0,4
76,0.6199980974197388,0,4
77,0.6781043410301208,0,4
78,0.6412906050682068,0,4
79,0.7132816910743713,0,4
80,0.6216708421707153,0,4
81,0.5673649311065674,0,4
82,0.6315833926200867,0,4
83,0.67900151014328,0,4
84,0.6928597688674927,0,4
85,0.6720820665359497,0,4
86,0.6975940465927124,0,4
87,0.5764064192771912,0,4
88,0.6188371181488037,0,4
89,0.48638927936553955,0,4
90,0.5643250346183777,0,4
91,0.6696328520774841,0,4
92,0.732994794845581,0,4
93,0.5989235639572144,0,4
94,0.6674860715866089,0,4
95,0.7418012619018555,0,4
96,0.6840016841888428,0,4
97,0.6755911111831665,0,4
98,0.592692494392395,0,4
99,0.797397792339325,0,4
100,0.7248861789703369,0,4
